Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount_USD,Location,Size,Color,Season,Review_Rating,Subscription_Status,Shipping_Type,Discount_Applied,Promo_Code_Used,Previous_Purchases,Payment_Method,Frequency_of_Purchases,Frequency_Score,Discount_Independence,Satisfaction_Flag,Prev_Norm,Freq_Norm,Spend_Norm,Rating_Norm,Loyalty_A,Loyalty_B,Customer_Value_Score,Value_Tier,Organic_Demand_Score,Loyalty_A_Tier,Loyalty_B_Tier
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Fortnightly,26,0,Satisfied,0.510204081632653,0.49019607843137253,0.17500000000000004,0.6399999999999999,0.5022008803521408,0.44710204081632643,0.33860044017607044,Medium Value,0.4011604641856742,High Loyalty,Medium Loyalty
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,26,0,Satisfied,0.18367346938775508,0.49019607843137253,0.6000000000000001,0.9600000000000002,0.30628251300520204,0.3798367346938776,0.45314125650260106,Medium Value,0.2542216886754701,Medium Loyalty,Medium Loyalty
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,26,0,Satisfied,0.7346938775510203,0.49019607843137253,0.65,0.8,0.6368947579031612,0.6073469387755102,0.6434473789515806,VIP,0.5021808723489395,Champion,High Loyalty
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,52,0,Satisfied,0.6122448979591836,0.9999999999999999,0.38750000000000007,0.8800000000000001,0.7673469387755101,0.5701224489795917,0.577423469387755,High Value,0.6255102040816325,Champion,High Loyalty
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,52,0,Satisfied,0.673469387755102,0.9999999999999999,0.4125000000000001,0.8800000000000001,0.8040816326530611,0.6007346938775511,0.6082908163265306,VIP,0.6530612244897958,Champion,High Loyalty
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,12,0,Unsatisfied,0.14285714285714285,0.21568627450980393,0.7625,0.11999999999999988,0.17198879551820728,0.10742857142857139,0.46724439775910365,High Value,0.13977591036414566,Low Loyalty,Low Loyalty
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Fortnightly,26,0,Satisfied,0.8775510204081631,0.49019607843137253,0.2,0.6399999999999999,0.7226090436174468,0.6307755102040815,0.4613045218087234,High Value,0.5664665866346538,Champion,High Loyalty
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,4,0,Satisfied,0.7142857142857142,0.058823529411764705,0.22500000000000003,0.8800000000000001,0.4521008403361344,0.6211428571428571,0.3385504201680672,Medium Value,0.342016806722689,High Loyalty,High Loyalty
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,52,0,Satisfied,0.32653061224489793,0.9999999999999999,0.3500000000000001,0.8399999999999999,0.5959183673469387,0.41526530612244894,0.47295918367346945,High Value,0.496938775510204,Champion,Medium Loyalty
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Fortnightly,26,0,Unsatisfied,0.9183673469387754,0.49019607843137253,0.875,0.32000000000000006,0.7470988395358142,0.5551836734693877,0.8110494197679071,VIP,0.5848339335734293,Champion,High Loyalty
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Quarterly,4,0,Unsatisfied,1.0,0.058823529411764705,0.38750000000000007,0.11999999999999988,0.6235294117647059,0.5359999999999999,0.5055147058823529,High Value,0.47058823529411764,Champion,High Loyalty
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,4,0,Satisfied,0.4285714285714285,0.058823529411764705,0.525,0.6399999999999999,0.2806722689075629,0.40628571428571425,0.40283613445378147,Medium Value,0.2134453781512605,Medium Loyalty,Medium Loyalty
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,1,0,Unsatisfied,0.6326530612244897,0.0,0.21250000000000002,0.28000000000000025,0.3795918367346938,0.40032653061224494,0.29604591836734695,Low Value,0.2846938775510204,Medium Loyalty,Medium Loyalty
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,52,0,Satisfied,0.7959183673469387,0.9999999999999999,0.8500000000000001,0.7600000000000002,0.8775510204081631,0.6259591836734694,0.8637755102040816,VIP,0.7081632653061223,Champion,High Loyalty
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,52,0,Unsatisfied,0.3061224489795918,0.9999999999999999,0.025000000000000022,0.15999999999999992,0.583673469387755,0.20106122448979585,0.3043367346938775,Low Value,0.48775510204081624,Champion,Low Loyalty
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,1,0,Unsatisfied,0.26530612244897955,0.0,0.0625,0.44000000000000017,0.15918367346938772,0.26465306122448984,0.11084183673469386,Low Value,0.1193877551020408,Low Loyalty,Low Loyalty
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,1,0,Unsatisfied,0.24489795918367344,0.0,0.0,0.44000000000000017,0.14693877551020407,0.25444897959183677,0.07346938775510203,Low Value,0.11020408163265305,Low Loyalty,Low Loyalty
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Quarterly,4,0,Satisfied,0.12244897959183673,0.058823529411764705,0.45000000000000007,1.0,0.09699879951980792,0.36122448979591837,0.273499399759904,Low Value,0.07569027611044418,Low Loyalty,Low Loyalty
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Quarterly,4,0,Satisfied,0.8163265306122448,0.058823529411764705,0.925,0.7600000000000002,0.5133253301320527,0.6361632653061224,0.7191626650660263,VIP,0.3879351740696278,High Loyalty,High Loyalty
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,52,0,Satisfied,0.26530612244897955,0.9999999999999999,0.3500000000000001,0.6399999999999999,0.5591836734693877,0.3246530612244898,0.45459183673469383,Medium Value,0.4693877551020407,High Loyalty,Low Loyalty
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,12,0,Satisfied,0.3061224489795918,0.21568627450980393,0.1375,0.8800000000000001,0.2699479791916766,0.4170612244897959,0.20372398959583832,Low Value,0.2132452981192477,Medium Loyalty,Medium Loyalty
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,12,0,Satisfied,0.8979591836734693,0.21568627450980393,0.7375,0.8800000000000001,0.6250500200080031,0.7129795918367346,0.6812750100040016,VIP,0.47957182873149257,Champion,Champion
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,1,0,Satisfied,0.7346938775510203,0.0,0.5875,0.9600000000000002,0.4408163265306122,0.6553469387755102,0.5141581632653061,High Value,0.33061224489795915,High Loyalty,Champion
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,4,0,Unsatisfied,0.8979591836734693,0.058823529411764705,0.22500000000000003,0.32000000000000006,0.5623049219687875,0.5449795918367346,0.3936524609843937,Medium Value,0.4246698679471788,High Loyalty,High Loyalty
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,4,0,Satisfied,0.7551020408163265,0.058823529411764705,0.8875,0.8399999999999999,0.4765906362545017,0.6295510204081631,0.6820453181272508,VIP,0.36038415366146453,High Loyalty,High Loyalty
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Fortnightly,26,0,Satisfied,0.9591836734693877,0.49019607843137253,0.16250000000000003,0.6000000000000001,0.7715886354541815,0.6595918367346939,0.46704431772709076,High Value,0.6032012805122049,Champion,Champion
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,26,0,Satisfied,0.8775510204081631,0.49019607843137253,0.6125,0.8399999999999999,0.7226090436174468,0.6907755102040816,0.6675545218087234,VIP,0.5664665866346538,Champion,Champion
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,52,0,Unsatisfied,0.18367346938775508,0.9999999999999999,0.3125,0.11999999999999988,0.510204081632653,0.12783673469387752,0.4113520408163265,Medium Value,0.4326530612244897,High Loyalty,Low Loyalty
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Quarterly,4,0,Unsatisfied,0.8775510204081631,0.058823529411764705,0.21250000000000002,0.52,0.5500600240096037,0.5947755102040816,0.3812800120048019,Medium Value,0.41548619447779106,High Loyalty,High Loyalty
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,12,0,Satisfied,0.346938775510204,0.21568627450980393,0.5,0.6800000000000002,0.294437775110044,0.3774693877551021,0.397218887555022,Medium Value,0.2316126450580232,Medium Loyalty,Medium Loyalty
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,4,0,Satisfied,0.6122448979591836,0.058823529411764705,0.7000000000000001,0.8399999999999999,0.39087635054021597,0.5581224489795917,0.545438175270108,High Value,0.29609843937575026,Medium Loyalty,High Loyalty
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,1,0,Satisfied,0.7959183673469387,0.0,0.23750000000000004,0.8,0.47755102040816316,0.6379591836734693,0.35752551020408163,Medium Value,0.3581632653061224,High Loyalty,High Loyalty
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,1,0,Satisfied,0.28571428571428564,0.0,1.0,0.6399999999999999,0.17142857142857137,0.3348571428571428,0.5857142857142856,High Value,0.12857142857142853,Low Loyalty,Low Loyalty
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,26,0,Unsatisfied,0.36734693877551017,0.49019607843137253,0.6125,0.4800000000000002,0.4164865946378551,0.3276734693877551,0.5144932973189276,High Value,0.3368747498999599,Medium Loyalty,Low Loyalty
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,52,0,Satisfied,0.8979591836734693,0.9999999999999999,0.4125000000000001,0.8399999999999999,0.9387755102040816,0.7009795918367345,0.6756377551020408,VIP,0.754081632653061,Champion,Champion
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,1,0,Unsatisfied,0.4897959183673469,0.0,0.012500000000000011,0.15999999999999992,0.29387755102040813,0.29289795918367345,0.15318877551020407,Low Value,0.22040816326530613,Medium Loyalty,Low Loyalty
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,4,0,Unsatisfied,0.8979591836734693,0.058823529411764705,0.2875,0.15999999999999992,0.5623049219687875,0.4969795918367346,0.4249024609843937,Medium Value,0.4246698679471788,High Loyalty,Medium Loyalty
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,52,0,Satisfied,0.7142857142857142,0.9999999999999999,0.42500000000000004,0.8,0.8285714285714285,0.5971428571428571,0.6267857142857143,VIP,0.6714285714285713,Champion,High Loyalty
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,12,0,Unsatisfied,0.7551020408163265,0.21568627450980393,0.4375,0.08000000000000007,0.5393357342937174,0.40155102040816326,0.4884178671468587,High Value,0.4152861144457783,High Loyalty,Medium Loyalty
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Fortnightly,26,0,Satisfied,0.673469387755102,0.49019607843137253,0.125,0.8399999999999999,0.6001600640256102,0.588734693877551,0.3625800320128051,Medium Value,0.4746298519407762,Champion,High Loyalty
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,Yes,39,Debit Card,Fortnightly,26,0,Unsatisfied,0.7755102040816325,0.49019607843137253,0.10000000000000003,0.52,0.6613845538215285,0.5437551020408162,0.38069227691076424,Medium Value,0.520548219287715,Champion,High Loyalty
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,4,0,Satisfied,0.12244897959183673,0.058823529411764705,0.48750000000000004,0.8800000000000001,0.09699879951980792,0.3252244897959184,0.292249399759904,Low Value,0.07569027611044418,Low Loyalty,Low Loyalty
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,52,0,Unsatisfied,0.510204081632653,0.9999999999999999,0.0,0.040000000000000036,0.7061224489795918,0.2671020408163265,0.3530612244897959,Medium Value,0.5795918367346937,Champion,Low Loyalty
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,52,0,Unsatisfied,0.693877551020408,0.9999999999999999,0.050000000000000044,0.56,0.8163265306122448,0.5149387755102041,0.4331632653061224,Medium Value,0.6622448979591835,Champion,High Loyalty
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Fortnightly,26,0,Satisfied,0.693877551020408,0.49019607843137253,0.925,0.6800000000000002,0.6124049619847939,0.5509387755102041,0.7687024809923969,VIP,0.483813525410164,Champion,High Loyalty
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,1,0,Unsatisfied,0.9795918367346937,0.0,0.10000000000000003,0.20000000000000018,0.5877551020408163,0.5497959183673469,0.3438775510204082,Medium Value,0.4408163265306122,Champion,High Loyalty
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,52,0,Satisfied,0.9183673469387754,0.9999999999999999,0.6625000000000001,0.8800000000000001,0.9510204081632652,0.7231836734693877,0.8067602040816326,VIP,0.7632653061224488,Champion,Champion
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,26,0,Satisfied,0.32653061224489793,0.49019607843137253,0.55,0.7600000000000002,0.3919967987194878,0.39126530612244903,0.4709983993597439,High Value,0.3185074029611844,Medium Loyalty,Medium Loyalty
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,12,0,Satisfied,0.5714285714285714,0.21568627450980393,0.42500000000000004,0.6800000000000002,0.4291316526610644,0.48971428571428577,0.4270658263305322,Medium Value,0.3326330532212885,High Loyalty,Medium Loyalty
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,52,0,Satisfied,0.061224489795918366,0.9999999999999999,0.7375,0.8399999999999999,0.436734693877551,0.2826122448979591,0.5871173469387755,High Value,0.3775510204081632,High Loyalty,Low Loyalty
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,52,0,Satisfied,0.32653061224489793,0.9999999999999999,0.21250000000000002,0.6000000000000001,0.5959183673469387,0.343265306122449,0.40420918367346936,Medium Value,0.496938775510204,Champion,Low Loyalty
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Quarterly,4,0,Satisfied,0.4081632653061224,0.058823529411764705,0.6000000000000001,0.8800000000000001,0.2684273709483793,0.46808163265306124,0.4342136854741897,Medium Value,0.20426170468187274,Medium Loyalty,Medium Loyalty
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,26,0,Unsatisfied,0.6122448979591836,0.49019607843137253,0.012500000000000011,0.52,0.5634253701480592,0.46212244897959176,0.28796268507402956,Low Value,0.44707883153261296,High Loyalty,Medium Loyalty
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,52,0,Unsatisfied,0.8571428571428571,0.9999999999999999,0.7375,0.08000000000000007,0.9142857142857141,0.45257142857142857,0.8258928571428571,VIP,0.7357142857142855,Champion,Medium Loyalty
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,26,0,Satisfied,0.346938775510204,0.49019607843137253,0.7875000000000001,0.9199999999999999,0.40424169667867144,0.449469387755102,0.5958708483393358,High Value,0.32769107643057216,Medium Loyalty,Medium Loyalty
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Quarterly,4,0,Satisfied,0.8775510204081631,0.058823529411764705,0.2,0.9199999999999999,0.5500600240096037,0.7147755102040816,0.37503001200480185,Medium Value,0.41548619447779106,High Loyalty,Champion
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Quarterly,4,0,Satisfied,0.04081632653061225,0.058823529411764705,0.925,0.8800000000000001,0.04801920768307323,0.28440816326530616,0.48650960384153663,High Value,0.03895558223289316,Low Loyalty,Low Loyalty
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,12,0,Satisfied,0.9795918367346937,0.21568627450980393,0.16250000000000003,0.7600000000000002,0.6740296118447379,0.7177959183673469,0.418264805922369,Medium Value,0.5163065226090435,Champion,Champion
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Quarterly,4,0,Unsatisfied,0.4081632653061224,0.058823529411764705,0.32500000000000007,0.56,0.2684273709483793,0.3720816326530612,0.2967136854741897,Low Value,0.20426170468187274,Medium Loyalty,Medium Loyalty
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,52,0,Satisfied,0.08163265306122448,0.9999999999999999,0.625,0.7600000000000002,0.44897959183673464,0.2688163265306123,0.5369897959183674,High Value,0.38673469387755094,High Loyalty,Low Loyalty
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Quarterly,4,0,Satisfied,0.6326530612244897,0.058823529411764705,0.11250000000000004,0.6800000000000002,0.4031212484993997,0.5203265306122449,0.25781062424969986,Low Value,0.305282112845138,Medium Loyalty,High Loyalty
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,1,0,Unsatisfied,0.673469387755102,0.0,0.3500000000000001,0.15999999999999992,0.4040816326530612,0.384734693877551,0.37704081632653064,Medium Value,0.3030612244897959,Medium Loyalty,Medium Loyalty
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Quarterly,4,0,Unsatisfied,0.4081632653061224,0.058823529411764705,0.07500000000000001,0.15999999999999992,0.2684273709483793,0.25208163265306116,0.1717136854741897,Low Value,0.20426170468187274,Medium Loyalty,Low Loyalty
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Fortnightly,26,0,Unsatisfied,0.8571428571428571,0.49019607843137253,0.8125,0.08000000000000007,0.7103641456582632,0.45257142857142857,0.7614320728291316,VIP,0.557282913165266,Champion,Medium Loyalty
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,12,0,Satisfied,0.04081632653061225,0.21568627450980393,0.4750000000000001,0.8,0.11076430572228893,0.26040816326530614,0.2928821528611445,Low Value,0.09385754301720688,Low Loyalty,Low Loyalty
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,1,0,Unsatisfied,0.4081632653061224,0.0,0.8125,0.08000000000000007,0.24489795918367344,0.22808163265306122,0.5286989795918368,High Value,0.18367346938775508,Low Loyalty,Low Loyalty
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,12,0,Satisfied,0.6326530612244897,0.21568627450980393,0.2875,0.6800000000000002,0.4658663465386154,0.5203265306122449,0.3766831732693077,Medium Value,0.36018407362945176,High Loyalty,High Loyalty
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,26,0,Unsatisfied,0.7142857142857142,0.49019607843137253,0.4125000000000001,0.32000000000000006,0.6246498599439775,0.4531428571428571,0.5185749299719888,High Value,0.49299719887955173,Champion,Medium Loyalty
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,26,0,Satisfied,1.0,0.49019607843137253,0.8875,0.8800000000000001,0.796078431372549,0.764,0.8417892156862744,VIP,0.6215686274509804,Champion,Champion
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Quarterly,4,0,Unsatisfied,0.8571428571428571,0.058823529411764705,0.9500000000000002,0.040000000000000036,0.5378151260504201,0.44057142857142856,0.7439075630252101,VIP,0.4063025210084033,High Loyalty,Medium Loyalty
